pakketnummer,pakketnaam,pokon,doosnummers
31.2p,Klimhortensia x 8,ja,12
32.1,Blauwe regenplanten x 3,nee,15
32.1p,Blauwe regenplanten x 3,ja,14 + 15
32.2,Blauwe regenplanten x 6,nee,14
32.2p,Blauwe regenplanten x 6,ja,2
33.1,Lonicera periclymenum x3,nee,15
33.1p,Lonicera periclymenum x3,ja,14 + 15
33.2,Lonicera periclymenum x6,nee,14
33.2p,Lonicera periclymenum x6,ja,2
34.1,Parthenocissus quinquefolia x3,nee,15
34.1p,Parthenocissus quinquefolia x3,ja,14 + 15
34.2,Parthenocissus quinquefolia x6,nee,14
34.2p,Parthenocissus quinquefolia x6,ja,2
35.1,Klimplanten mix x8,nee,2
35.1p,Klimplanten mix x8,ja,12
36.1,Geurende grootbloemige tuinrozen x 4,nee,3
36.1p,Geurende grootbloemige tuinrozen x 4,ja,4
36.2,Geurende Grootbloemige tuinrozen ROOD x 4,nee,3
36.2p,Geurende Grootbloemige tuinrozen ROOD x 4,ja,4
36.3,Geurende Grootbloemige tuinrozen ROZE x 4,nee,3
36.3p,Geurende Grootbloemige tuinrozen ROZE x 4,ja,4
36.4,Geurende Grootbloemige tuinrozen GEEL x 4,nee,3
36.4p,Geurende Grootbloemige tuinrozen GEEL x 4,ja,4
36.5,Geurende Grootbloemige tuinrozen 2-KLEUR x 4,nee,3
36.5p,Geurende Grootbloemige tuinrozen 2-KLEUR x 4,ja,4
37.0,Thunbergia oranje x 2,nee,15
37.0p,Thunbergia oranje x 2,ja,1
39.0,Vedergras (Stipa Ponytails) x 3,nee,15
39.0p,Vedergras (Stipa Ponytails) x 3,ja,14 + 15
39.1,Vedergras (Stipa Ponytails) x 4,nee,1
39.1p,Vedergras (Stipa Ponytails) x 4,ja,14
39.2,Vedergras (Stipa Ponytails) x 8,nee,2
39.2p,Vedergras (Stipa Ponytails) x 8,ja,12
40.1,Camellia struik 'Japanse roos' XL x 1 Roze,nee,3
40.1p,Camellia struik 'Japanse roos' XL x 1 Roze,ja,3
40.2,Camellia struik 'Japanse roos' XL x 2 Roze,nee,3
40.2p,Camellia struik 'Japanse roos' XL x 2 Roze,ja,3
40.3,Camellia struik 'Japanse roos' XL x 1 Rood,nee,3
40.3p,Camellia struik 'Japanse roos' XL x 1 Rood,ja,3
40.4,Camellia struik 'Japanse roos' XL x 2 Rood,nee,3
40.4p,Camellia struik 'Japanse roos' XL x 2 Rood,ja,3
40.5,Camellia struik 'Japanse roos' XL x 1 Wit,nee,3
40.5p,Camellia struik 'Japanse roos' XL x 1 Wit,ja,3
40.6,Camellia struik 'Japanse roos' XL x 2 Wit,nee,3
40.6p,Camellia struik 'Japanse roos' XL x 2 Wit,ja,3
40.7,Camellia struik 'Japanse roos' XL x 1 Tricolor,nee,3
40.7p,Camellia struik 'Japanse roos' XL x 1 Tricolor,ja,3
40.8,Camellia struik 'Japanse roos' XL x 2 Tricolor,nee,3
40.8p,Camellia struik 'Japanse roos' XL x 2 Tricolor,ja,3
41.1,Bamboe Fargesia XL C2 x1,nee,3
41.1p,Bamboe Fargesia XL C2 x1,ja,3
41.2,Bamboe Fargesia XL C2 x2,nee,3
